GEN-001|Explore foundational Islamic perspectives on existence, belief and the afterlife.|آشنایی با دیدگاه‌های بنیادی اسلامی درباره هستی، ایمان و معاد.|Islamic theology
GEN-002|Study Islamic perspectives on prophethood and religious leadership.|بررسی دیدگاه‌های اسلامی درباره نبوت و امامت.|Prophethood in Islam
GEN-003|Examine ethical concepts and their relationship to individual and social conduct.|بررسی مفاهیم اخلاقی و ارتباط آن‌ها با رفتار فردی و اجتماعی.|Islamic ethics
GEN-004|Study the historical context and development of the Iranian Revolution.|مطالعه زمینه تاریخی و روند انقلاب اسلامی ایران.|Iranian Revolution
GEN-005|Examine early Islamic history through historical events and their context.|بررسی رویدادها و زمینه‌های تاریخی صدر اسلام.|History of Islam
GEN-006|Read Quranic passages through thematic interpretation and discussion.|مطالعه آیات قرآن با تفسیر موضوعی و گفت‌وگو درباره مفاهیم آن‌ها.|Tafsir
GEN-007|Explore family relationships, population change and their social context.|آشنایی با روابط خانواده، تغییرات جمعیت و زمینه اجتماعی آن‌ها.|Demography
GEN-008|Develop Persian reading, writing and communication through language and literature.|تقویت خواندن، نوشتن و ارتباط به زبان فارسی با مطالعه زبان و ادبیات.|Persian language
GEN-009|Build general English reading and communication skills for university study.|تقویت مهارت‌های عمومی خواندن و ارتباط به انگلیسی برای تحصیل دانشگاهی.|English language
GEN-010|Study the Iran–Iraq War and related historical narratives in the general curriculum.|مطالعه جنگ ایران و عراق و روایت‌های تاریخی مرتبط در برنامه دروس عمومی.|Iran–Iraq War
GEN-011|Develop physical fitness and learn principles of regular physical activity.|توسعه آمادگی جسمانی و آشنایی با اصول فعالیت بدنی منظم.|Physical education
GEN-012|Practice sport-specific movement, teamwork and physical fitness.|تمرین مهارت‌های ورزشی، کار گروهی و آمادگی جسمانی.|Sport
SCI-101|Learn limits, derivatives and integrals to describe change and solve quantitative problems.|یادگیری حد، مشتق و انتگرال برای توصیف تغییر و حل مسائل کمی.|Calculus
SCI-102|Extend calculus to vectors, several variables and multiple integrals used in engineering models.|گسترش حسابان به بردارها، چند متغیر و انتگرال‌های چندگانه در مدل‌های مهندسی.|Multivariable calculus
SCI-103|Model changing systems with differential equations and interpret their solutions.|مدل‌سازی سیستم‌های متغیر با معادلات دیفرانسیل و تفسیر پاسخ آن‌ها.|Differential equation
SCI-104|Describe uncertainty using random variables, probability distributions and expectation.|توصیف عدم قطعیت با متغیرهای تصادفی، توزیع‌های احتمال و امید ریاضی.|Probability theory
SCI-106|Understand motion, forces and energy as foundations for analyzing physical systems.|شناخت حرکت، نیرو و انرژی به‌عنوان پایه تحلیل سیستم‌های فیزیکی.|Classical mechanics
SCI-114|Write algorithms and programs that transform inputs into reproducible solutions.|نوشتن الگوریتم و برنامه برای تبدیل ورودی‌ها به راه‌حل‌های تکرارپذیر.|Computer programming
SCI-115|Use computational approximations to solve equations, estimate integrals and analyze numerical error.|استفاده از تقریب‌های محاسباتی برای حل معادلات، برآورد انتگرال و تحلیل خطای عددی.|Numerical analysis
SCI-116|Measure physical phenomena, evaluate experimental uncertainty and communicate results.|اندازه‌گیری پدیده‌های فیزیکی، ارزیابی عدم قطعیت آزمایش و گزارش نتایج.|Experimental physics
ISE-101|Explore how households and firms make choices, and how markets allocate scarce resources.|بررسی انتخاب خانوارها و بنگاه‌ها و چگونگی تخصیص منابع کمیاب در بازار.|Microeconomics
ISE-102|Study output, inflation, employment and the economy-wide effects of policy.|مطالعه تولید، تورم، اشتغال و آثار سیاست‌ها در سطح کل اقتصاد.|Macroeconomics
ISE-103|Read financial records and trace product and service costs to support managerial decisions.|خواندن اطلاعات مالی و ردیابی هزینه محصولات و خدمات برای تصمیم‌های مدیریتی.|Cost accounting
