Timer Pro Professional|https://www.acsco.com/|Video-based work measurement and time studies.|اندازه‌گیری کار و زمان‌سنجی مبتنی بر ویدئو.
MTM software solutions|https://mtm.org/en/|Methods-time measurement and work design.|اندازه‌گیری زمان روش‌ها و طراحی کار.
Microsoft Excel|https://www.microsoft.com/en-us/microsoft-365/excel|Spreadsheets for models, calculations and reporting.|صفحه‌گسترده برای مدل‌سازی، محاسبه و گزارش‌دهی.
Microsoft Excel Solver|https://support.microsoft.com/en-us/office/define-and-solve-a-problem-by-using-solver-5d1a388f-079d-43ac-a7eb-f63e45925040|Spreadsheet optimization with decision variables and constraints.|بهینه‌سازی در صفحه‌گسترده با متغیر تصمیم و محدودیت.
AutoCAD|https://www.autodesk.com/products/autocad/overview|Technical drawings and CAD-based facility layouts.|نقشه‌کشی فنی و چیدمان واحدها با طراحی رایانه‌ای.
Microsoft Visio|https://www.microsoft.com/en-us/microsoft-365/visio|Process maps, flowcharts and technical diagrams.|نقشه فرایند، نمودار جریان و دیاگرام فنی.
Siemens Tecnomatix Factory & Line Design|https://www.siemens.com/en-us/products/tecnomatix/factory-line-design/|Plan factory spaces and production-line layouts.|برنامه‌ریزی فضای کارخانه و چیدمان خطوط تولید.
FlexSim|https://www.flexsim.com/|Model material flows and experiment with production systems.|مدل‌سازی جریان مواد و آزمایش سیستم‌های تولیدی.
SOLIDWORKS|https://www.solidworks.com/|Create mechanical designs and three-dimensional models.|طراحی مکانیکی و ساخت مدل‌های سه‌بعدی.
Siemens Tecnomatix Plant Simulation|https://www.siemens.com/en-us/products/tecnomatix/plant-simulation-software/|Simulate and analyze production and logistics systems.|شبیه‌سازی و تحلیل سیستم‌های تولید و لجستیک.
Arena Simulation|https://www.rockwellautomation.com/en-us/products/software/arena-simulation.html|Discrete-event simulation for processes and service systems.|شبیه‌سازی پیشامد گسسته برای فرایندها و سیستم‌های خدماتی.
Odoo Inventory|https://www.odoo.com/app/inventory|Manage warehouse operations and inventory movements.|مدیریت عملیات انبار و جابه‌جایی موجودی.
SAP Extended Warehouse Management (SAP EWM)|https://www.sap.com/products/scm/extended-warehouse-management.html|Enterprise warehouse planning and execution.|برنامه‌ریزی و اجرای عملیات انبار در مقیاس سازمانی.
AnyLogic|https://www.anylogic.com/|Combine discrete-event, agent-based and system dynamics simulation.|ترکیب شبیه‌سازی پیشامد گسسته، عامل‌مبنا و پویایی سیستم.
SAP S/4HANA Manufacturing for Planning and Scheduling|https://learning.sap.com/courses/planning-with-advanced-planning-methods-in-eppds/explaining-supply-chain-planning|Enterprise production planning and detailed scheduling.|برنامه‌ریزی تولید و زمان‌بندی تفصیلی سازمانی.
Odoo Manufacturing|https://www.odoo.com/app/manufacturing|Manage bills of materials, work orders and production.|مدیریت فهرست مواد، دستور کار و تولید.
MRPeasy|https://www.mrpeasy.com/|Material requirements and production planning for manufacturers.|برنامه‌ریزی نیازمندی مواد و تولید برای تولیدکنندگان.
Simul8|https://www.simul8.com/|Test process changes with discrete-event simulation.|آزمایش تغییرات فرایند با شبیه‌سازی پیشامد گسسته.
IBM Maximo|https://www.ibm.com/products/maximo|Asset lifecycle and maintenance management.|مدیریت چرخه عمر دارایی و نگهداری تجهیزات.
Fiix CMMS|https://fiixsoftware.com/|Track equipment, maintenance work and work orders.|ردیابی تجهیزات، فعالیت نگهداری و دستور کار.
R|https://www.r-project.org/|Statistical computing, modeling and graphics.|رایانش آماری، مدل‌سازی و ترسیم نمودار.
SciPy|https://scipy.org/|Scientific algorithms for optimization, statistics and numerical work.|الگوریتم‌های علمی برای بهینه‌سازی، آمار و محاسبات عددی.
MATLAB|https://www.mathworks.com/products/matlab.html|Numerical computing and engineering model development.|محاسبات عددی و توسعه مدل‌های مهندسی.
Minitab|https://www.minitab.com/en-us/|Statistical analysis and quality improvement.|تحلیل آماری و بهبود کیفیت.
IBM SPSS Statistics|https://www.ibm.com/products/spss-statistics|Statistical data analysis through a graphical workflow.|تحلیل آماری داده با محیط کار گرافیکی.
jamovi|https://www.jamovi.org/|Accessible graphical tools for statistical analysis.|ابزارهای گرافیکی قابل دسترس برای تحلیل آماری.
JASP|https://jasp-stats.org/|Graphical classical and Bayesian statistical analysis.|تحلیل آماری کلاسیک و بیزی با محیط گرافیکی.
NumPy|https://numpy.org/|Array computing and linear algebra in Python.|محاسبات آرایه‌ای و جبر خطی در پایتون.
Julia|https://julialang.org/|A programming language for technical and scientific computing.|زبان برنامه‌نویسی برای محاسبات فنی و علمی.
Python|https://www.python.org/|General-purpose programming for analysis and automation.|برنامه‌نویسی همه‌منظوره برای تحلیل و خودکارسازی.
Jupyter Notebook|https://jupyter.org/|Combine executable code, explanation and results in notebooks.|ترکیب کد اجرایی، توضیح و نتایج در دفترچه‌های محاسباتی.
Visual Studio Code|https://code.visualstudio.com/|Code editing, debugging and development workflows.|ویرایش کد، اشکال‌زدایی و گردش کار توسعه.
SQLite|https://sqlite.org/|A compact relational database for local applications and analysis.|پایگاه داده رابطه‌ای کم‌حجم برای برنامه‌ها و تحلیل محلی.
MySQL|https://www.mysql.com/|Relational database management for information systems.|مدیریت پایگاه داده رابطه‌ای برای سیستم‌های اطلاعاتی.
Microsoft SQL Server|https://www.microsoft.com/en-us/sql-server|Store, query and manage organizational data.|ذخیره، پرس‌وجو و مدیریت داده سازمانی.
Microsoft Access|https://www.microsoft.com/en-us/microsoft-365/access|Desktop databases, forms and reports.|پایگاه داده، فرم و گزارش در محیط دسکتاپ.
Microsoft Power BI|https://www.microsoft.com/en-us/power-platform/products/power-bi|Interactive business dashboards and data reporting.|داشبوردهای تعاملی کسب‌وکار و گزارش داده.
Power Query|https://learn.microsoft.com/en-us/power-query/|Connect, clean and transform data before analysis.|اتصال، پاک‌سازی و تبدیل داده پیش از تحلیل.
Tableau|https://www.tableau.com/|Explore data through interactive visual analytics.|کاوش داده با تحلیل دیداری تعاملی.
GAMS|https://www.gams.com/|Algebraic modeling for mathematical optimization.|مدل‌سازی جبری برای بهینه‌سازی ریاضی.
LINGO / LINDO|https://www.lindo.com/|Optimization modeling and solver tools.|ابزارهای مدل‌سازی و حل مسائل بهینه‌سازی.
Pyomo|https://www.pyomo.org/|Build mathematical optimization models in Python.|ساخت مدل‌های بهینه‌سازی ریاضی در پایتون.
PuLP|https://coin-or.github.io/pulp/|Model linear and mixed-integer optimization problems in Python.|مدل‌سازی مسائل خطی و عددصحیح مختلط در پایتون.
Google OR-Tools|https://developers.google.com/optimization|Optimization tools for routing, scheduling and constraints.|ابزار بهینه‌سازی برای مسیریابی، زمان‌بندی و محدودیت‌ها.
Gurobi Optimizer|https://www.gurobi.com/|Solve mathematical optimization models.|حل مدل‌های بهینه‌سازی ریاضی.
SAP Integrated Business Planning (SAP IBP)|https://www.sap.com/products/scm/integrated-business-planning.html|Integrated demand, supply and inventory planning.|برنامه‌ریزی یکپارچه تقاضا، تأمین و موجودی.
anyLogistix|https://www.anylogistix.com/|Supply-chain network design and simulation.|طراحی و شبیه‌سازی شبکه زنجیره تأمین.
COMFAR|https://www.unido.org/comfar|Financial and economic analysis of investment projects.|تحلیل مالی و اقتصادی طرح‌های سرمایه‌گذاری.
QuickBooks|https://quickbooks.intuit.com/|Accounting, bookkeeping and business finance workflows.|حسابداری، ثبت دفاتر و گردش کار مالی کسب‌وکار.
TallyPrime|https://tallysolutions.com/tally-prime/|Accounting and business management software.|نرم‌افزار حسابداری و مدیریت کسب‌وکار.
Stata|https://www.stata.com/|Statistical analysis, econometrics and data management.|تحلیل آماری، اقتصادسنجی و مدیریت داده.
Microsoft Project|https://www.microsoft.com/en-us/microsoft-365/planner/project-management|Project planning and task scheduling; the official page reflects the Planner transition.|برنامه‌ریزی پروژه و زمان‌بندی وظایف؛ صفحه رسمی گذار به Planner را توضیح می‌دهد.
Oracle Primavera P6|https://www.oracle.com/construction-engineering/primavera-p6/|Plan and control complex projects and portfolios.|برنامه‌ریزی و کنترل پروژه‌ها و سبدهای پیچیده.
Miro|https://miro.com/|Collaborative process mapping and visual planning.|ترسیم مشارکتی فرایند و برنامه‌ریزی دیداری.
Lucidchart|https://www.lucidchart.com/|Create and share flowcharts and system diagrams.|ساخت و اشتراک نمودار جریان و دیاگرام سیستم.
EViews|https://www.eviews.com/|Econometric modeling and time-series analysis.|مدل‌سازی اقتصادسنجی و تحلیل سری زمانی.
gretl|https://gretl.sourceforge.net/|Open-source econometrics and statistical modeling.|اقتصادسنجی و مدل‌سازی آماری متن‌باز.
Google Analytics|https://marketingplatform.google.com/about/analytics/|Analyze website and application usage.|تحلیل استفاده از وب‌سایت و برنامه.
Google Ads|https://business.google.com/en-all/google-ads/|Plan and measure digital advertising campaigns.|برنامه‌ریزی و سنجش کارزارهای تبلیغات دیجیتال.
HubSpot|https://www.hubspot.com/|Customer relationship, sales and marketing workflows.|گردش کار ارتباط با مشتری، فروش و بازاریابی.
